,category,text
50,sport,lewsey puzzle disallowed try england s josh lewsey claimed denied late try s nations loss ireland. lewsey added: irish players scooped whistle surprise referee gave turnover. rehearse time time again.
51,politics,believe plans include raising mandatory retirement age public service workers 60 65. government says unions consulted changes made. monday tony blair s official spokesman declined prime minister backed plans. mark serwotka public commercial services union said co-ordinated day strike government rethink.
52,business,sixth time years standard life cuts bonus rates despite 8.7% rise value with-profits fund 2004. recently norwich union axa sun life cut with-profit bonus rates. payouts continue stand types long-term investments similar periods said.
53,business,allied domecq shares london rose 4% 1200 gmt pernod shares paris slipped 1.2%.
54,sport,26-year-old handed transfer request ewood park seeks return ibrox. blackburn said want £6m midfielder williams rejected proposals rangers player-swap deal. comment got agreement glasgow rangers added.
55,politics,party says plans save average pensioner £100 year cut winter deaths. government gives £200 winter fuel households people 60 £300 people 80.
56,business,figure announced president viktor yushchenko 3 000 cases mentioned week cover biggest deals. earlier month new prime minister yulia tymoshenko said 3 000 firms privatisations spotlight. understand difficulties.
57,sport,player staked biggest claim place starting xv weekend gavin henson. gave good direction confident nice general side. jones stuck hand certainly looks better bet charlie hodgson saturday s game. wales forwards surprised thought out-muscled tight five. star ireland s win italy rome looks like certainty starting xv new zealand. gordon d arcy unlucky injured early think henson d arcy o driscoll combination lions midfield.
58,sport,pressure scotland coach matt williams seeks nations victory eighth attempt. coach john kirwan warned eradicate errors blighted loss wales risk suffering successive defeat. defeat wales taught s level t mistakes kirwan said.
59,business,food drug administration (fda) advisory panel verdict hearing evidence days. vioxx withdrawn shops year merck said consider selling gets fda approval. merck s announcement possible reintroduction vioxx caught analysts surprise.
60,business,telegraph group says cuts needed fund £150m investment new printing facilities. journalists firm met friday afternoon discuss react surprise announcement. telegraph executive murdoch maclennan said newspapers add colour pages coming months.
61,sport,1815 gmt great britain s rugby league team australia final tri-nations tournament. great opportunity land trophy massive boost rugby league country won said robinson. games tough hopefully ll well.
62,business,demand $280bn (£155bn) - filed clinton administration 1999 - rejected 2-1 decision. court washington case brought federal anti-racketeering laws.
63,sport,faces german marlene weingartner round. competitor athlete want win.
64,business,government s partial sell-off ntpc controversial programme privatise state-run firms.
65,tech,broadband uk growing fast high-speed net connections uk proving popular ever. bt reports people signed broadband months quarter. 600 000 connections total number people uk signing broadband bt 3.3 million.
66,business,deadline marks point fiat gain right sell car division gm alliance agreed 2000. gm s european units opel saab trouble opel management threatening cut 12 000 jobs.
67,entertainment,pops leaves bbc bbc s flagship pop music programme pops bbc fridays sundays bbc two. new launch spring year extended format. mr keating described bbc natural home pops. think new slot create buzz programme time viewers discover news number happens.
68,tech,microsoft gets blogging bug software giant microsoft taking plunge world blogging. service supported banner ads. competitors like google offer free services blogger site aol provides members journals.
69,business,indonesia originally accepted debt moratorium offer owes paris club $48bn (£25.5bn). true discussing... paris club decision details debt subject moratorium.
70,politics,dr brian gibbons day job jane hutt sacked admitted big challenges insisted essentials place. s job years months apart nye bevan (architect nhs) t think anybody job long. mr morgan said told ms hutt reshuffle monday morning said nhs wales dr gibbons baby now.
71,business,advance second-fastest asia china led growth 13.1% key manufacturing sector. quarter fell 3.0% analyst forecasts.
72,politics,nearly half £11 724 929 received 16 political parties listed electoral commission. followed earlier donation earlier 2004. totals fourth quarter period 2003 parties built war chests general election campaign.
73,sport,amalgamated under-18 formed separate schools national youth teams plays match thursday italy gnoll. seen wru decide end funding representative sides wales students.
74,business,tuc said submission budget action needed 105 000 jobs lost sector year.
75,tech,needed way changing gear generally left leg mr tansley told bbc news website. vehicle belongs pararallying world s rally school disabled drivers based lincolnshire. second ring steering wheel operate throttle hand operated brake bar. recently took london sydney marathon shared driving partner trevor engineering work.
76,business,yukos claiming $20bn (£11bn) damages yugansk sold december settle taxes. vowed use legal means disposal firm tries buy control assets.
77,sport,feel difficult certainty teams break definite edge. hodgson added: length breaks vary. hodgson believes winter break positive step premiership.
78,sport,o driscoll originally named starting line-up failed recover hamstring injury picked win italy. ulster wing tommy bowe asked travel squad scotland precautionary measure.
79,business,platon lebedev trial alongside mr khodorkovsky june case centring privatisation fertiliser firm. mr lebedev mr khodorkovsky face possible 10 year jail sentence convicted questioned judge days.
80,business,titan corporation accused funnelling $2m 2001 re-election campaign president mathieu kerekou. time titan trying higher price telecommunications project benin.
81,sport,decision taken board meeting following s surprise elimination uefa cup. ranieri took charge valencia 1997 guiding king s cup helping qualify champions league.
82,politics,media reports countries deal major step ongoing peace process. warmly applaud efforts india pakistan happen. mountainous region kashmir flashpoint nuclear powers 50 years.
83,business,follows news corp s decision register business us. terms offer minority fox shareholders receive 1.90 news corp shares return fox share hold.
84,entertainment,woodsman won satyajit ray award named indian director. set south wales film teenage single mother embroiled tense stand-off turkish neighbour.
85,politics,mr hague 43 told daily telegraph life dominated politics boring unfulfilling. asked stand leadership mr hague replied: no. cabinet leader party branch things...it liberating feeling.
86,politics,mr brown returned tour african nations. pledging £960m 15 years immunisation iff britain urged donors contribute.
87,business,builder gorges dam continuing work sister xiluodu dam said beijing news.
88,entertainment,earned reputation outspoken charismatic contrast fellow brit nominees keane snow patrol. enlisted guitarist keyboard player christopher karloff spotting pub. saw long sideburns thought hey looks ll ask said meighan.
89,business,bank set leave rates hold uk rates set remain hold 4.75% following latest meeting bank england. richard jeffrey chief economist bridgewell securities said unlikely bank england rates time around.
90,sport,wessels unable compete mixed doubles slovakia booked place final second year running. think going way past matches okay.
91,sport,31-year-old norway international surgery sweden august transplant cartilage joint. contract united runs 2006 time premier league club 10 years.
92,politics,goldsmith: leant attorney general denied leant downing street legal case invading iraq. text released eve crucial commons vote mps backed invasion iraq. government resisted calls publish advice saying papers kept confidential. clear statement today believe accurate summary formal opinion.
93,sport,flanker topped list included ireland star gordon d arcy australian sensation matt giteau.
94,politics,lecture london school economics irene khan said human rights flouted security 11 september 2001. public passivity war terror single powerful indictment failures human rights groups said. ms khan said movement failed mobilise public outrage happening human rights system. ms khan said human rights movement irrelevant turned away suffering caused economic strife.
95,sport,johansson boyfriend lleyton hewitt s sister jaslyn received strong crowd support saturday.
96,business,winter temperatures staying relatively high northern barrel light crude ended monday $1.33 $42.12. crude prices rebounded asia rising $42.30 barrel february delivery.
97,sport,way nfl-style video cameras field slap vociferous perpetrators knuckles. game exciting comes much-improved england enraged decisions way. understand frustration. doubt kaplan pleased comments made. cameras conceivable angle pick anomalies. stand-out moments classic game old foes. spoke volumes ireland s back-foot display defensive coach mike ford taking bow end.
98,business,revised figures indicated growth 0.1% - similar-sized contraction previous quarter. common technical definition recession successive quarters negative growth.
99,entertainment,emerged behind-the-scenes role artist producer. feel like lot soul s old records sample said. wire quickly joined uk charts slow jamz west collaborated rapper twista ray actor jamie foxx.
100,entertainment,successes celebrity big brother simpsons enabled broadcaster surpass bbc month july.
101,sport,american serena williams won edging russian elena dementieva 7-6 7-5 second victory event. mauresmo s win ninth row tries overtake lindsay davenport number spot. lakers play feel excitement. williams admitted way best form remained positive wins days.
102,business,lisbon targets economic prestige. meeting lisbon targets requires political commitment eu member state volunteered far. suffered years economic slowdown recession european economy followed suit. everybody responsible one. t luxury anymore exchange politeness another. point mr kok clear: european union try emulate economy. s going require new innovative policies. analysts believe kok report t come sort innovative policies thinking needed lisbon targets reality.
103,politics,register shows tory leader william hague earning £820 000 mps salary speaking fees. foreign secretary robin cook paid £45 001 £50 000 paperback edition book resignation government. register shows home office minister ann widdecombe declaring £100 000 advance fourth novels. earns £5 001and £10 000 work.
104,politics,conservatives share values uk s minorities. attack labour s record government issues tax set tory plans immigration quota set mps.
105,tech,loyalty cards idea tv addicts viewers soon rewarded watching tv loyalty cards come screen near you. ingenuity content players said mr whalley.
106,sport,boro qualified knockout stages alongside partizan villareal expense lazio. boss mcclaren looking victory mean avoid team played champions league friday s third-round draw.
107,entertainment,writer tony cowell judges hear aspiring writers read work aloud. public vote place account 25% final decision. winner announced london book fair 14 march year screened tv.
108,sport,hong kong 2011 world cup bid hong kong hoping join japan co-host 2011 rugby world cup. japan ready host tournament looking forward welcoming world rugby japan.
109,tech,web radio takes spanish rap global spin radio dial likely plenty spanish-language music. company bringing rap hip-hop en espanol users everywhere. t radio listen hip-hop spanish... s accessible says manuel millan native san diego california. usually commercialised sound groups known country world. currently chilean group makisa latinohiphopradio.com s 10 cuban artist papo record. latinohiphopradio.com running couple months now. surprising consider spain leader spanish-language rap hip-hop. millan says spain actually united states france terms overall rap hip-hop production. spaniard firmly latinohiphopradio.com s 10.
110,business,commerce department said trade deficit year 24.4% previous record - 2003 s imbalance $496.5bn. monthly basis trade gap narrowed 4.9% december £56.4bn.
111,entertainment,jay-z said music 2003 s black album company s president chief executive january. jay-z real shawn carter said: inherited important brands hip-hop def jam roc-a-fella.
112,sport,18-year-old wild card won junior grand slam events year including wimbledon. course bit tired second set.
113,entertainment,21 films competition golden silver bear awards half europe france particularly represented. anti-american mood said. dozen celebrities scheduled attend smith kevin spacey keanu reeves.
114,sport,real s 3-0 win roma england skipper admitted season under-achievement tolerated bernabeu stadium.
115,entertainment,produced mr tambourine man byrds turn turn turn. melcher worked closely mother producing doris day helping run charitable activities.
116,entertainment,howl s moving castle follow-up miyazaki s spirited away won best animation year s oscars. film won golden osella outstanding technical contribution year s venice film festival.
117,politics,speaking labour s spring conference gateshead mr brown claimed nhs safe conservative hands. party employees employers managers said.
118,sport,robbie fowler scored visitors sent header wide. second half started quietly james forced divert cross lively duff away eidur gudjohnsen s path. time james produce sensational save tip lampard s volley round post. subs used: johnson smertin cudicini.
119,sport,chelsea sack mutu chelsea sacked adrian mutu failed drugs test. clear stance chelsea given strong boost reputation club. romanian international later suggested substance designed enhance sexual performance. football association act mutu s failed drugs test refuses discuss case.
120,entertainment,slater 35 replacing actor dallas roberts tennessee williams drama opens month. preview performances glass menagerie begin new york s ethel barrymore theatre thursday.
121,politics,jack cunningham stand veteran labour mp cabinet minister jack cunningham said stand election.
122,business,possible malfunctions braking systems. affected vehicles product recall 2004 2005 model years gm said.
123,tech,lycos hopes monthly bandwidth bills spammers soar keeping servers running flat out. said screensaver carefully written ensure traffic generated user overload web. typically sites different send spam e-mail typically thousand visitors day. working screensaver shows websites bothered requests data. despite soft launch mr pollmann said screensaver downloaded 20 000 times days.
124,business,firm said profits 40m rupees ($915 000; £486 000) months december sales fell 8% 4.7bn rupees. dr reddy s indian competitors gathering strength face heavy competitive pressures.
125,business,light sweet crude futures jumped $53.09 barrel new york closing $53.03. market simply wants citigroup global markets analyst kyle cooper told reuters news agency.
126,tech,means developers able use technologies paying licence company. ibm granted 3 248 patents 2004 firm new york times reports. pledge today beginning new era ibm manage intellectual property. company said wanted encourage firms release patents called patent commons . s diversionary tactics wrote mr mueller leadsnosoftwarepatents.com message group s website.
127,sport,benitez said: difficult jerzy.
128,politics,said replacing controversial csa nuclear option . chairman sir archy kirkwood said: agency rescued replaced. think select committee agree absolutely convinced isn t going work.
129,sport,2003 champion claimed seventh grand slam title wimbledon 2003 2-6 6-3 6-0. davenport paid tribute williams saying: s tough couple years s come like champion. 23-year-old world number desperate trouble early stages injury hampered service action. end think little bit fatigued took advantage kept going - s great frontrunner gets going.
130,tech,cards issued february year line revised convention seafarers identity documents june 2003.
131,entertainment,twenty-seven british films uk year following drop funding compared 45 2003 according trade weekly. isn t coming replace (the funds) said libertine s executive producer marc samuelson.
132,sport,williams expected miss match disc problem neck making speedy recovery. tests 48 hours pretty optimistic getting wales team physiotherapist mark davies said.
133,business,orange added million new customers 2004 leading 10% increase revenues. france telecom spend 578m euros buying minority shareholders data services provider equant. looking ahead company forecast like-for-like sales growth 3% 5% years.
134,business,analysts predict dollar remain weak 2005 investors worry state economy. dollar trading $1.3652 versus euro friday morning hitting fresh record low $1.3667 thursday.
135,tech,nice week european commission announced networked & electronic media (nem) initiative. broad scope stretches way media created stages distribution playback. speakers stated incompatible stand-alone solutions working.
136,entertainment,scoggins best remembered singing theme tune popular tv beverly hillbillies. scoggins sang lyrics bluegrass stars lester flatt earl scruggs played guitar banjo.
137,tech,hand-animated sprites 2d side-scrolling considered retro released arcades years ago. shoot-anything-that-moves gameplay peppered moments old-school genius.
138,sport,russian lost 2002 2004 finals fought brilliantly win 1-6 6-3 6-4 6-4. nervous couldn t play tennis said safin. russian revealed victory semi-final win world number roger federer given massive boost future.
139,business,12.1 trillion pesos going richest population need.
140,business,munich swiss world s biggest reinsurers said exposure disasters. rebuilding costs likely cheaper developed countries affected insurance analysts said. 10 countries affected sri lanka indonesia india thailand worst hit. insurers long assess economic impact damage reports casualties destruction coming through. association british insurers warned travel insurance normally cover cutting short holiday.
141,business,government lawyers said ask court appeals district columbia hear case. three-judge panel agreed companies finding case brought federal anti-racketeering laws.
142,tech,apple mac mini gets warm welcome mac mini welcomed apple fans industry experts pc users. mac watchers analysts mac mini long way help apple appeal mass consumers. mr evans said combination low cost small size huge numbers ipod users big success. thought machine appeal like apple technology balked paying high prices hardware. said pc owning friends declared buying one. macworld expo site completely overwhelmed went offline. browsing web e-mail kinds basic duties s going absolutely adequate said mr ross. mac mini cheap apple expensive compared pcs.
143,sport,settle bronze greece fellow american justin gatlin francis obikwelu portugal. lost things said greene races birmingham friday. believe s lane seven final lane seven couldn t feel race. pair contest 60m distance greene currently holds world record 6.39 seconds.
144,tech,study space weather mr wong needed explore minute fluctuations order create mathematical models. mr wong says application infancy useful reading images created digitally. mr wong blind age seven thinks having colour memory makes software useful scientist vision.
145,business,economy grown quarters growth slowed dramatically quarter amid weaker global demand. analysts forecasting 0.1% rise month month industrial output. comparatively weak economic date preyed shares nikkei 1% afternoon trade.
146,sport,home s craig bryson goal chopped stan varga headed celtic lead. resulting free kick darren sheridan curled ball round celtic wall post deny him. ball delivered left halliwell left floundering varga glanced ball net.
147,entertainment,set grammar school play earned best actor prize star richard griffiths teacher hector.
148,sport,woken nights dreaming day said moya. helps reach goals obsessed. great way finish year said nadal afterwards. roddick left frustrated losing singles slow clay seville s olympic stadium. s tough felt like time clay-courters world said american.
149,tech,future pocket geek gadget fan 12 months look like going lot fun. wireless technology boost data transmission speeds 75 megabits second works distances 30 miles. kent likely site uk s wimax network live 2005 way rural areas high-speed net access. technology popping places wider use held price differences countries suppliers. fixed line phones start competition technology formidable voice ip (voip).
150,sport,athletics ruling body iaaf said explanations pair coach missed tests unacceptable . ll presenting arguments segas - innocent.
151,tech,sales tripled launch outstripping microsoft s xbox said market analysts chart-track. xbox sales week climbed ps2 sales double that. xbox game halo 2 released 11 november uk widely tipped best-selling games year.
152,politics,sir alan budd s inquiry linked ex-home secretary speeding visa claim ex-lover s nanny.
153,business,study outlook manufacturing retail sectors worsened. economy labour minister wolfgang clement called dip february s ifo confidence figure mild decline .
154,tech,links google s map service address car firm carfax licence plate. new tool compared smart tags feature microsoft users.
155,entertainment,marvel man gave characters extraordinary powers everyday headaches - formula revolutionised comics. characters good bad shades grey. lee s answer 1961 fantastic - team astronauts gained super powers bombarded cosmic rays. soon nerdy peter parker transformed - bite irradiated spider - crawl sides new york s skyscrapers. years ago marvel hero northstar came closet. retired editing 1971 stan lee wrote copy marvel s covers. 2001 started new company entitled pow! ( stan lee indestructible heroes.
156,sport,29-year-old kidney transplant july 2004 play match years leading southern hemisphere twickenham. match 4 june 15-man game training schedule testing combines sevens lot things said lomu. coming rugby people said dreaming starts dream. lomu asked taking risk replied: going road hit bus.
157,business,asian carmakers fared - toyota sales jumped 11% rival nissan notched 10% increase. korea s hyundai big gainer turning 19% surge february sales.
158,politics,government-commissioned study ranked uk world index use information communication technology (ict). international benchmarking study based 8 000 telephone interviews businesses 2 700 uk businesses.
159,business,orange said starting proceedings easymobile service trademark infringement. easymobile allow customers online order sim cards airtime - rented t-mobile - existing handsets.
160,entertainment,winners included green day voted best group black eyed peas.
161,politics,moving stage party faithful rose feet applause personal ad-libbed appeal fight victory. helped win famous election - election transformed country better . know life meant said said. tories mountain climb michael howard walk doors number 10.
162,politics,custody death rate shocks mps deaths custody reached shocking levels committee mps peers warned. crime levels falling holding people custody before.
163,entertainment,frank capra s 1946 movie starring james stewart turned £7m musical producer jon thoday.
164,politics,john houston 54 stand east kilbride seat lanarkshire election. peter nielson ukip scotland chairman said suspended mr houston friday night. remain suspended matter investigated decide action taken. added: t comment moment version haven t seen papers yet.
165,business,bank england expected rates hold week - later year. growth probably slow end 2005 likely higher rates sharp drop demand products services.
166,entertainment,bbc received 47 000 complaints musical broadcast protesters demonstrated outside bbc buildings uk. springer helped launch west end attended opening night. british-born presenter london speak fundraising dinner united jewish israel appeal.
167,politics,judge clashes ministers uk s judge revealed clashed ministers heads public inquiries chosen. said involved choice lord hutton law lord come jurisdiction. told mps: tends undermine confidence public judiciary worries me. lord woolf acknowledged highly unlikely lord chancellor appoint judge wishes lord chief justice.
168,politics,t deals jobs like prime minister told bbc s breakfast frost programme. prime minister said discussed claims chancellor dismissed load nonsense . welfare minister frank field mp said prime minister sack mr brown believe mr blair strong so.
169,entertainment,stars gear bafta ceremony film stars globe preparing walk red carpet year s bafta award ceremony. dicaprio faces competition bernal jamie foxx jim carrey johnny depp best actor category.
170,politics,fox attacks blair s tory lies tony blair lied took uk war qualms lying election campaign tories. tory co-chairman liam fox speaking mr blair told labour members tories offered hard right agenda . dr fox accused mr blair cabinet ministers telling lies opponents policies attacking lies.
171,sport,neil mellor gave liverpool lead half-time milan baros pass czech added rounding shay given hour. garcia crowned return goal inside opening minute took pass baros shot wildly yards. g poll (hertfordshire).
172,business,reserve bank australia lifted rates 0.25% 5.5% upwards year. shortly bank decision new figures showed fall economic growth quarter. consumer spending remains strong bank concerned growing inflationary pressures.
173,politics,men arrested september bursting chamber causing hunting ban debate halted. charged section 5 public order act police said. november use parliament act meant total ban hunting dogs england wales.
174,politics,mps debate euthanasia laws mps preparing debate critics claim legalise euthanasia door . establish legal presumption everybody decisions treatment proved otherwise. patients saying want clarity.
175,business,spurt china s trade surplus - sore point trading partners - six-year high. peg keeping yuan 8.30 dollar blamed lawmakers job losses home.
176,entertainment,carry star patsy rowlands dies actress patsy rowlands known millions roles carry films died age 71. spending years players theatre london film debut 1963 tom jones directed tony richardson. rowlands played hard-done-by wife put-upon employee regular carry star. recent years appeared bbc mini-series cazalets played mrs potts london stage version beauty beast.
177,sport,hayley yelling jo pavey karl keska adam hickey represent team gb event france. rest team named trials wollaton park nottingham place 5 march.
178,business,group menatep gibraltar-based holding company controls 51% yukos says illegal. mr gaillard told bbc news charter came effect signature ratification. took action try prevent forced sale yugansk - little-known shell company turn bought rosneft.
179,business,arsenal moves new stadium proportion turnover media earnings drop 52% season 34% years time. formation premier league season 1992/93 premiership clubs seen income television soar.
180,sport,quality player knows net - got supply ammunition end keegan said. stadium atmosphere great tough league stay - finding know.
181,tech,blogger grounded airline airline attendant fighting job suspended postings blog online diary. ensured mention airline worked created fictional names cities companies. images taken digital camera inherited mother. pictures flight layovers. 10 images site showed ms simonetti s flight wings . examples employees presented kind material online gotten trouble employers said. asked stop blogging company action taken.
182,sport,s responding treatment started running friday ll wait told bbc live s sportsweek. hope try help happen meersseman told mail sunday.
183,tech,xbox power cable fear microsoft said replace 14 million power cables xbox consoles safety concerns. advised users turn xboxes use.
184,tech,sony wares win innovation award sony taken prize innovator annual awards pc pro magazine. electronics giant beat strong competition toshiba chip makers amd intel gong. said sony s clie peg ux50 media player swivel screen qwerty keyboard broke design rules . net-based memory video card shop crucial shared award online vendor year novatech.
185,sport,showed admirable resolve win rain-affected match 6-7 6-4 6-4. compatriot seventh seed rafael nadal reached beating italian potito starace 6-1 6-3.
186,business,month german exchange tabled 530 pence-per-share offer lse valuing £1.3bn. euronext hold talks lse week reported ready raise £1.4bn fund bid. lse rejected deutsche boerse s proposed £1.3bn offer december saying undervalued business.
187,sport,32-year-old spaniard came 6-3 3-6 6-3 title berlin 2000. groenefeld powerful player match opponent s relentless accuracy.
188,politics,mcconnell drunk remark row scotland s minister told group high school pupils okay drunk . scottish executive insisted mr mcconnell speaking adults comments recognition people drunk .
189,entertainment,r&b star keys won awards grammy ceremony los angeles. u2 usher norah jones kanye west got each. night s biggest shocks lost battle named best new artist pop rock act maroon 5. britney spears picked grammy song toxic named best dance recording.
190,politics,bbc s breakfast frost mr kinnock referred lords members brigands muggers bribers gangsters . labour leader said probably title lord kinnock bedwellty - constituency selected 1969.
